,State Name,Roaded (2014-2023),IRA (Roadless) (2014-2023),Wilderness (2014-2023),Roaded (1984-2023),IRA (Roadless) (1984-2023),Wilderness (1984-2023)
0,Arizona,"4,322.2 (22.2%)",563.4 (25.5%),663.9 (27.5%),"9,524.0 (49.0%)","1,399.0 (63.4%)","1,825.1 (75.6%)"
1,California,"15,258.8 (35.5%)","3,669.6 (41.4%)","5,019.5 (44.8%)","23,408.9 (54.4%)","7,042.3 (79.4%)","9,901.9 (88.4%)"
2,Colorado,"1,163.1 (5.0%)",938.4 (7.3%),438.8 (5.6%),"2,475.3 (10.7%)","1,507.1 (11.7%)",880.7 (11.3%)
3,Idaho,"1,697.7 (6.7%)","2,441.7 (9.7%)","2,241.5 (17.6%)","4,914.8 (19.5%)","8,268.3 (32.9%)","10,623.0 (83.3%)"
4,Montana,"1,635.5 (5.2%)","2,186.5 (10.4%)",903.1 (9.2%),"5,397.3 (17.1%)","4,773.3 (22.8%)","3,740.0 (37.9%)"
5,Nevada,81.4 (2.7%),48.1 (0.9%),70.8 (2.6%),215.3 (7.3%),234.2 (4.5%),245.9 (9.0%)
6,New Mexico,"2,349.4 (11.5%)",765.5 (17.3%),"2,147.0 (41.5%)","5,323.7 (26.1%)","2,044.4 (46.2%)","6,029.6 (116.6%)"
7,Oregon,"6,377.4 (14.2%)","1,711.3 (28.4%)","2,110.5 (27.8%)","10,042.8 (22.3%)","3,404.8 (56.5%)","4,289.5 (56.5%)"
8,Utah,474.6 (4.3%),872.8 (7.5%),279.2 (15.0%),"1,133.6 (10.2%)","2,033.8 (17.6%)",401.7 (21.5%)
9,Washington,"2,151.8 (10.6%)","1,004.1 (15.0%)","1,385.4 (16.7%)","3,409.3 (16.8%)","2,125.3 (31.7%)","2,227.2 (26.9%)"
10,Wyoming,742.0 (10.0%),209.1 (2.6%),182.2 (3.0%),"1,236.6 (16.7%)",871.1 (10.6%),"1,656.2 (27.2%)"
11,ALL,"36,254.0 (14.5%)","14,410.5 (12.9%)","15,442.2 (20.4%)","67,081.7 (26.9%)","33,703.5 (30.1%)","41,820.8 (55.2%)"
