,State Name,Roaded (2014-2023),IRA (Roadless) (2014-2023),Wilderness (2014-2023),Roaded (1984-2023),IRA (Roadless) (1984-2023),Wilderness (1984-2023)
0,Arizona,"19,371 (1.0%)","4,859 (2.2%)","6,076 (2.5%)","99,751 (5.1%)","14,523 (6.6%)","24,292 (10.1%)"
1,California,"458,078 (10.7%)","88,588 (10.0%)","91,059 (8.1%)","663,851 (15.4%)","178,248 (20.1%)","222,184 (19.8%)"
2,Colorado,"29,540 (1.3%)","24,131 (1.9%)","14,741 (1.9%)","69,923 (3.0%)","42,987 (3.3%)","29,395 (3.8%)"
3,Idaho,"35,135 (1.4%)","57,510 (2.3%)","43,012 (3.4%)","114,717 (4.6%)","235,553 (9.4%)","256,025 (20.1%)"
4,Montana,"38,479 (1.2%)","71,051 (3.4%)","28,603 (2.9%)","138,004 (4.4%)","177,729 (8.5%)","144,649 (14.7%)"
5,Nevada,"1,752 (0.6%)",878 (0.2%),495 (0.2%),"5,060 (1.7%)","4,823 (0.9%)","4,451 (1.6%)"
6,New Mexico,"14,877 (0.7%)","3,694 (0.8%)","14,113 (2.7%)","50,628 (2.5%)","17,953 (4.1%)","50,686 (9.8%)"
7,Oregon,"155,273 (3.5%)","50,319 (8.4%)","65,660 (8.6%)","246,669 (5.5%)","94,337 (15.7%)","118,992 (15.7%)"
8,Utah,"10,684 (1.0%)","24,418 (2.1%)","5,446 (2.9%)","25,543 (2.3%)","55,024 (4.7%)","9,770 (5.2%)"
9,Washington,"46,156 (2.3%)","30,219 (4.5%)","46,960 (5.7%)","78,749 (3.9%)","67,328 (10.0%)","86,661 (10.5%)"
10,Wyoming,"19,843 (2.7%)","5,820 (0.7%)","5,969 (1.0%)","30,362 (4.1%)","23,658 (2.9%)","50,892 (8.3%)"
11,ALL,"829,188 (3.3%)","361,489 (3.2%)","322,133 (4.3%)","1,523,256 (6.1%)","912,163 (8.1%)","997,996 (13.2%)"
