,State Name,Roaded (2014-2023),IRA (Roadless) (2014-2023),Wilderness (2014-2023),Roaded (1984-2023),IRA (Roadless) (1984-2023),Wilderness (1984-2023)
0,Arizona,802.9 (4.1%),179.2 (8.1%),268.0 (11.1%),"2,803.4 (14.4%)",497.3 (22.5%),853.8 (35.4%)
1,California,"8,964.2 (20.8%)","2,038.6 (23.0%)","2,284.6 (20.4%)","13,194.8 (30.7%)","3,797.7 (42.8%)","4,721.8 (42.2%)"
2,Colorado,585.7 (2.5%),554.3 (4.3%),273.0 (3.5%),"1,359.9 (5.9%)",900.9 (7.0%),573.8 (7.4%)
3,Idaho,788.4 (3.1%),"1,264.0 (5.0%)","1,083.1 (8.5%)","2,383.6 (9.5%)","4,412.4 (17.6%)","4,936.1 (38.7%)"
4,Montana,883.3 (2.8%),"1,334.1 (6.4%)",522.9 (5.3%),"2,917.7 (9.3%)","2,974.1 (14.2%)","2,321.5 (23.5%)"
5,Nevada,48.2 (1.6%),25.8 (0.5%),25.0 (0.9%),134.9 (4.6%),140.8 (2.7%),134.5 (4.9%)
6,New Mexico,457.9 (2.2%),141.6 (3.2%),505.9 (9.8%),"1,335.1 (6.5%)",520.6 (11.8%),"1,503.5 (29.1%)"
7,Oregon,"3,035.3 (6.7%)",931.0 (15.5%),"1,170.8 (15.4%)","4,824.2 (10.7%)","1,752.8 (29.1%)","2,217.6 (29.2%)"
8,Utah,243.1 (2.2%),544.5 (4.7%),129.3 (6.9%),586.9 (5.3%),"1,180.4 (10.2%)",213.4 (11.4%)
9,Washington,962.4 (4.7%),599.9 (8.9%),817.9 (9.9%),"1,612.6 (7.9%)","1,249.5 (18.6%)","1,401.5 (16.9%)"
10,Wyoming,416.4 (5.6%),127.3 (1.6%),124.4 (2.0%),665.1 (9.0%),473.3 (5.8%),905.2 (14.9%)
11,ALL,"17,187.8 (6.9%)","7,740.4 (6.9%)","7,204.8 (9.5%)","31,818.2 (12.8%)","17,899.7 (16.0%)","19,782.6 (26.1%)"
