,State Name,Roaded (2014-2023),IRA (Roadless) (2014-2023),Wilderness (2014-2023),Roaded (1984-2023),IRA (Roadless) (1984-2023),Wilderness (1984-2023)
0,Arizona,"60,917 (3.1%)","13,057 (5.9%)","20,719 (8.6%)","180,585 (9.3%)","35,208 (16.0%)","61,090 (25.3%)"
1,California,"438,345 (10.2%)","115,276 (13.0%)","137,399 (12.3%)","655,633 (15.2%)","201,523 (22.7%)","249,991 (22.3%)"
2,Colorado,"29,032 (1.3%)","31,300 (2.4%)","12,561 (1.6%)","66,066 (2.9%)","47,106 (3.7%)","27,984 (3.6%)"
3,Idaho,"43,703 (1.7%)","68,887 (2.7%)","65,295 (5.1%)","123,643 (4.9%)","205,686 (8.2%)","237,583 (18.6%)"
4,Montana,"49,846 (1.6%)","62,363 (3.0%)","23,689 (2.4%)","153,762 (4.9%)","119,677 (5.7%)","87,497 (8.9%)"
5,Nevada,"3,071 (1.0%)","1,701 (0.3%)","2,006 (0.7%)","8,432 (2.8%)","9,253 (1.8%)","8,998 (3.3%)"
6,New Mexico,"30,913 (1.5%)","10,470 (2.4%)","36,472 (7.1%)","82,885 (4.1%)","34,111 (7.7%)","99,667 (19.3%)"
7,Oregon,"148,253 (3.3%)","42,786 (7.1%)","51,419 (6.8%)","235,747 (5.2%)","80,940 (13.4%)","102,768 (13.5%)"
8,Utah,"13,629 (1.2%)","30,031 (2.6%)","7,483 (4.0%)","33,148 (3.0%)","63,012 (5.4%)","11,569 (6.2%)"
9,Washington,"50,083 (2.5%)","29,774 (4.4%)","34,831 (4.2%)","82,509 (4.1%)","57,622 (8.6%)","53,491 (6.5%)"
10,Wyoming,"21,797 (2.9%)","6,908 (0.8%)","6,472 (1.1%)","36,152 (4.9%)","23,670 (2.9%)","39,630 (6.5%)"
11,ALL,"889,590 (3.6%)","412,553 (3.7%)","398,347 (5.3%)","1,658,562 (6.6%)","877,807 (7.8%)","980,267 (12.9%)"
