state_name,year,access,mtbs_class,area_km2
Arizona,1984,roaded,0,0.0
Arizona,1984,roaded,1,1.4418
Arizona,1984,roaded,2,1.5930000000000002
Arizona,1984,roaded,3,1.242
Arizona,1984,roaded,4,0.2322
Arizona,1984,roaded,5,0.032400000000000005
Arizona,1984,roaded,6,0.0
Arizona,1984,roadless,0,0.0
Arizona,1984,roadless,1,0.0
Arizona,1984,roadless,2,0.0
Arizona,1984,roadless,3,0.0
Arizona,1984,roadless,4,0.0
Arizona,1984,roadless,5,0.0
Arizona,1984,roadless,6,0.0
Arizona,1984,wilderness,0,0.0
Arizona,1984,wilderness,1,0.0
Arizona,1984,wilderness,2,0.0
Arizona,1984,wilderness,3,0.0
Arizona,1984,wilderness,4,0.0
Arizona,1984,wilderness,5,0.0
Arizona,1984,wilderness,6,0.0
Arizona,1985,roaded,0,0.0
Arizona,1985,roaded,1,1.45764
Arizona,1985,roaded,2,1.176831
Arizona,1985,roaded,3,0.0666
Arizona,1985,roaded,4,0.030600000000000002
Arizona,1985,roaded,5,0.0018
Arizona,1985,roaded,6,0.0
Arizona,1985,roadless,0,0.0009
Arizona,1985,roadless,1,4.39776
Arizona,1985,roadless,2,2.069469
Arizona,1985,roadless,3,0.046799999999999994
Arizona,1985,roadless,4,0.0072
Arizona,1985,roadless,5,0.0036
Arizona,1985,roadless,6,0.0
Arizona,1985,wilderness,0,0.0
Arizona,1985,wilderness,1,0.0
Arizona,1985,wilderness,2,0.0
Arizona,1985,wilderness,3,0.0
Arizona,1985,wilderness,4,0.0
Arizona,1985,wilderness,5,0.0
Arizona,1985,wilderness,6,0.0
Arizona,1986,roaded,0,0.0
Arizona,1986,roaded,1,0.41271300000000005
Arizona,1986,roaded,2,0.45183599999999996
Arizona,1986,roaded,3,0.12168
Arizona,1986,roaded,4,0.0
Arizona,1986,roaded,5,0.0
Arizona,1986,roaded,6,0.0
Arizona,1986,roadless,0,0.0009
Arizona,1986,roadless,1,6.642728999999999
Arizona,1986,roadless,2,8.703098999999998
Arizona,1986,roadless,3,1.400715
Arizona,1986,roadless,4,0.3735
Arizona,1986,roadless,5,0.0405
Arizona,1986,roadless,6,0.0
Arizona,1986,wilderness,0,0.0
Arizona,1986,wilderness,1,0.319374
Arizona,1986,wilderness,2,0.216756
Arizona,1986,wilderness,3,0.100008
Arizona,1986,wilderness,4,0.019799999999999998
