state_name,access_class,extent_km2,extent_masked_km2
Arizona,roaded,37574.590689000004,19438.968717
Arizona,roadless,4744.307627999999,2206.1697390000004
Arizona,wilderness,5372.953784999999,2413.222722
California,roaded,62055.08730000003,43010.26679700003
California,roadless,15849.845667000003,8871.392952
California,wilderness,20753.462007000006,11200.033854000003
Colorado,roaded,39935.85105600003,23140.389834000012
Colorado,roadless,16774.947342000003,12855.548655000002
Colorado,wilderness,12885.518061000002,7779.263328
Idaho,roaded,34154.55142200002,25208.74899900001
Idaho,roadless,36654.55321499997,25104.74260499999
Idaho,wilderness,17084.293947000006,12754.064997000007
Montana,roaded,38175.91707600002,31503.977460000016
Montana,roadless,25594.68407399998,20933.35309799999
Montana,wilderness,13926.934520999997,9866.465567999996
Nevada,roaded,9235.089287999997,2961.899289
Nevada,roadless,11348.481186000005,5180.823198000002
Nevada,wilderness,4600.979892000002,2745.453789
New Mexico,roaded,30394.59566400001,20426.109849000004
New Mexico,roadless,6068.423609999998,4427.888184
New Mexico,wilderness,5795.608580999998,5169.439016999998
Oregon,roaded,54535.39337700002,45006.12404100001
Oregon,roadless,7517.024793,6024.931182
Oregon,wilderness,9119.627252999999,7592.398694999998
Utah,roaded,17676.464229000012,11128.713003000003
Utah,roadless,16191.219329999982,11584.780118999992
Utah,wilderness,3160.0312649999973,1866.9733200000007
Washington,roaded,23382.02069100004,20315.01541500003
Washington,roadless,7787.339756999999,6703.931745
Washington,wilderness,11077.844994,8290.006866000002
Wyoming,roaded,18648.521298,7412.675939999999
Wyoming,roadless,13120.073541000002,8197.887734999998
Wyoming,wilderness,12418.503489,6095.021219999998
