State,Access Class,Forest Area (ha),Unburned to Low,Low,Moderate,High,All Severity,"Low, Moderate, or High",Moderate or High
Arizona,Developed,"1,943,897",5.3%,12.8%,3.1%,1.0%,22.2%,16.9%,4.1%
Arizona,IRA,"220,617",5.0%,12.4%,5.9%,2.2%,25.5%,20.6%,8.1%
Arizona,Wilderness,"241,322",4.8%,11.6%,8.6%,2.5%,27.5%,22.7%,11.1%
California,Developed,"4,301,027",3.3%,11.3%,10.2%,10.7%,35.5%,32.2%,20.8%
California,IRA,"887,139",4.7%,13.7%,13.0%,10.0%,41.4%,36.7%,23.0%
California,Wilderness,"1,120,003",7.6%,16.8%,12.3%,8.1%,44.8%,37.2%,20.4%
Colorado,Developed,"2,314,039",0.9%,1.6%,1.3%,1.3%,5.0%,4.2%,2.5%
Colorado,IRA,"1,285,555",1.0%,2.0%,2.4%,1.9%,7.3%,6.3%,4.3%
Colorado,Wilderness,"777,926",0.7%,1.4%,1.6%,1.9%,5.6%,4.9%,3.5%
Idaho,Developed,"2,520,875",1.2%,2.4%,1.7%,1.4%,6.7%,5.5%,3.1%
Idaho,IRA,"2,510,474",1.3%,3.4%,2.7%,2.3%,9.7%,8.4%,5.0%
Idaho,Wilderness,"1,275,406",2.7%,6.4%,5.1%,3.4%,17.6%,14.9%,8.5%
Montana,Developed,"3,150,398",0.6%,1.7%,1.6%,1.2%,5.2%,4.6%,2.8%
Montana,IRA,"2,093,335",1.2%,2.9%,3.0%,3.4%,10.4%,9.2%,6.4%
Montana,Wilderness,"986,647",1.6%,2.3%,2.4%,2.9%,9.2%,7.6%,5.3%
Nevada,Developed,"296,190",0.4%,0.7%,1.0%,0.6%,2.7%,2.4%,1.6%
Nevada,IRA,"518,082",0.1%,0.3%,0.3%,0.2%,0.9%,0.8%,0.5%
Nevada,Wilderness,"274,545",0.2%,1.4%,0.7%,0.2%,2.6%,2.3%,0.9%
New Mexico,Developed,"2,042,611",2.7%,6.6%,1.5%,0.7%,11.5%,8.8%,2.2%
New Mexico,IRA,"442,789",4.2%,9.9%,2.4%,0.8%,17.3%,13.1%,3.2%
New Mexico,Wilderness,"516,944",8.8%,23.0%,7.1%,2.7%,41.5%,32.8%,9.8%
Oregon,Developed,"4,500,612",2.0%,5.5%,3.3%,3.5%,14.2%,12.2%,6.7%
Oregon,IRA,"602,493",3.2%,9.8%,7.1%,8.4%,28.4%,25.2%,15.5%
Oregon,Wilderness,"759,240",3.5%,8.9%,6.8%,8.6%,27.8%,24.3%,15.4%
Utah,Developed,"1,112,871",0.7%,1.4%,1.2%,1.0%,4.3%,3.5%,2.2%
Utah,IRA,"1,158,478",1.0%,1.9%,2.6%,2.1%,7.5%,6.6%,4.7%
Utah,Wilderness,"186,697",3.3%,4.7%,4.0%,2.9%,15.0%,11.7%,6.9%
Washington,Developed,"2,031,502",2.0%,3.9%,2.5%,2.3%,10.6%,8.6%,4.7%
Washington,IRA,"670,393",1.7%,4.4%,4.4%,4.5%,15.0%,13.3%,8.9%
Washington,Wilderness,"829,001",1.8%,5.0%,4.2%,5.7%,16.7%,14.9%,9.9%
Wyoming,Developed,"741,268",1.4%,3.0%,2.9%,2.7%,10.0%,8.6%,5.6%
Wyoming,IRA,"819,789",0.3%,0.7%,0.8%,0.7%,2.6%,2.2%,1.6%
Wyoming,Wilderness,"609,502",0.2%,0.7%,1.1%,1.0%,3.0%,2.8%,2.0%
ALL,Developed,"24,955,289",2.1%,5.6%,3.6%,3.3%,14.5%,12.4%,6.9%
ALL,IRA,"11,209,145",1.7%,4.3%,3.7%,3.2%,12.9%,11.2%,6.9%
ALL,Wilderness,"7,577,234",3.3%,7.6%,5.3%,4.3%,20.4%,17.1%,9.5%
